"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2016","36","36001","Albany County (NY)","293,097","35,585","31,470","39,700","31,470 to 39,700","12.1","10.7","13.5","10.7 to 13.5","56,666","8,865","7,340","10,390","7,340 to 10,390","15.6","12.9","18.3","12.9 to 18.3","41,087","5,694","4,546","6,842","4,546 to 6,842","13.9","11.1","16.7","11.1 to 16.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$61,634","$58,933","$64,335","$58,933 to $64,335"
"2013","36","36001","Albany County (NY)","291,194","39,857","35,436","44,278","35,436 to 44,278","13.7","12.2","15.2","12.2 to 15.2","57,424","9,271","7,566","10,976","7,566 to 10,976","16.1","13.1","19.1","13.1 to 19.1","42,085","6,123","4,832","7,414","4,832 to 7,414","14.5","11.4","17.6","11.4 to 17.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$55,778","$53,673","$57,883","$53,673 to $57,883"
"2016","36","36003","Allegany County (NY)","42,697","7,836","6,609","9,063","6,609 to 9,063","18.4","15.5","21.3","15.5 to 21.3","9,362","2,411","1,932","2,890","1,932 to 2,890","25.8","20.7","30.9","20.7 to 30.9","6,927","1,645","1,297","1,993","1,297 to 1,993","23.7","18.7","28.7","18.7 to 28.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$45,226","$42,284","$48,168","$42,284 to $48,168"
"2013","36","36003","Allegany County (NY)","43,635","7,296","5,941","8,651","5,941 to 8,651","16.7","13.6","19.8","13.6 to 19.8","9,876","2,526","2,043","3,009","2,043 to 3,009","25.6","20.7","30.5","20.7 to 30.5","7,254","1,707","1,331","2,083","1,331 to 2,083","23.5","18.3","28.7","18.3 to 28.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$41,849","$39,467","$44,231","$39,467 to $44,231"
"2016","36","36005","Bronx County (NY)","1,418,238","405,516","386,220","424,812","386,220 to 424,812","28.6","27.2","30.0","27.2 to 30.0","359,219","142,806","133,806","151,806","133,806 to 151,806","39.8","37.3","42.3","37.3 to 42.3","255,436","99,616","92,650","106,582","92,650 to 106,582","39.0","36.3","41.7","36.3 to 41.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$37,355","$36,207","$38,503","$36,207 to $38,503"
"2013","36","36005","Bronx County (NY)","1,381,104","423,904","406,248","441,560","406,248 to 441,560","30.7","29.4","32.0","29.4 to 32.0","357,200","148,624","140,688","156,560","140,688 to 156,560","41.6","39.4","43.8","39.4 to 43.8","251,642","106,540","100,464","112,616","100,464 to 112,616","42.3","39.9","44.7","39.9 to 44.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$33,079","$31,623","$34,535","$31,623 to $34,535"
"2016","36","36007","Broome County (NY)","184,887","30,417","26,702","34,132","26,702 to 34,132","16.5","14.5","18.5","14.5 to 18.5","37,266","9,096","7,719","10,473","7,719 to 10,473","24.4","20.7","28.1","20.7 to 28.1","27,052","6,260","5,193","7,327","5,193 to 7,327","23.1","19.2","27.0","19.2 to 27.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$49,927","$47,914","$51,940","$47,914 to $51,940"
"2013","36","36007","Broome County (NY)","187,458","33,205","29,727","36,683","29,727 to 36,683","17.7","15.8","19.6","15.8 to 19.6","37,966","9,479","8,044","10,914","8,044 to 10,914","25.0","21.2","28.8","21.2 to 28.8","27,983","6,457","5,406","7,508","5,406 to 7,508","23.1","19.3","26.9","19.3 to 26.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$45,142","$42,960","$47,324","$42,960 to $47,324"
"2016","36","36009","Cattaraugus County (NY)","75,207","11,014","9,483","12,545","9,483 to 12,545","14.6","12.6","16.6","12.6 to 16.6","17,150","3,517","2,766","4,268","2,766 to 4,268","20.5","16.1","24.9","16.1 to 24.9","12,633","2,471","1,888","3,054","1,888 to 3,054","19.6","15.0","24.2","15.0 to 24.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$46,224","$43,314","$49,134","$43,314 to $49,134"
"2013","36","36009","Cattaraugus County (NY)","76,451","14,442","12,543","16,341","12,543 to 16,341","18.9","16.4","21.4","16.4 to 21.4","17,540","5,040","4,294","5,786","4,294 to 5,786","28.7","24.4","33.0","24.4 to 33.0","12,933","3,454","2,865","4,043","2,865 to 4,043","26.7","22.1","31.3","22.1 to 31.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$40,936","$38,549","$43,323","$38,549 to $43,323"
"2016","36","36011","Cayuga County (NY)","73,615","9,236","7,674","10,798","7,674 to 10,798","12.5","10.4","14.6","10.4 to 14.6","15,199","2,848","2,243","3,453","2,243 to 3,453","18.7","14.7","22.7","14.7 to 22.7","11,238","1,937","1,474","2,400","1,474 to 2,400","17.2","13.1","21.3","13.1 to 21.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$53,437","$50,214","$56,660","$50,214 to $56,660"
"2013","36","36011","Cayuga County (NY)","75,115","10,673","8,848","12,498","8,848 to 12,498","14.2","11.8","16.6","11.8 to 16.6","15,912","3,540","2,833","4,247","2,833 to 4,247","22.2","17.8","26.6","17.8 to 26.6","11,719","2,417","1,855","2,979","1,855 to 2,979","20.6","15.8","25.4","15.8 to 25.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$48,976","$46,051","$51,901","$46,051 to $51,901"
"2016","36","36013","Chautauqua County (NY)","124,296","23,921","20,736","27,106","20,736 to 27,106","19.2","16.6","21.8","16.6 to 21.8","26,040","7,520","6,337","8,703","6,337 to 8,703","28.9","24.4","33.4","24.4 to 33.4","19,170","4,962","4,117","5,807","4,117 to 5,807","25.9","21.5","30.3","21.5 to 30.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$42,664","$40,179","$45,149","$40,179 to $45,149"
"2013","36","36013","Chautauqua County (NY)","127,431","24,313","21,335","27,291","21,335 to 27,291","19.1","16.8","21.4","16.8 to 21.4","27,414","8,092","6,810","9,374","6,810 to 9,374","29.5","24.8","34.2","24.8 to 34.2","20,297","5,565","4,576","6,554","4,576 to 6,554","27.4","22.5","32.3","22.5 to 32.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$40,468","$38,554","$42,382","$38,554 to $42,382"
"2016","36","36015","Chemung County (NY)","81,577","12,390","10,125","14,655","10,125 to 14,655","15.2","12.4","18.0","12.4 to 18.0","18,228","4,137","3,248","5,026","3,248 to 5,026","22.7","17.8","27.6","17.8 to 27.6","13,362","2,903","2,276","3,530","2,276 to 3,530","21.7","17.0","26.4","17.0 to 26.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$50,722","$48,304","$53,140","$48,304 to $53,140"
"2013","36","36015","Chemung County (NY)","83,404","14,218","12,364","16,072","12,364 to 16,072","17.0","14.8","19.2","14.8 to 19.2","18,830","4,793","4,001","5,585","4,001 to 5,585","25.5","21.3","29.7","21.3 to 29.7","13,610","3,073","2,394","3,752","2,394 to 3,752","22.6","17.6","27.6","17.6 to 27.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$45,337","$42,399","$48,275","$42,399 to $48,275"
"2016","36","36017","Chenango County (NY)","47,641","7,248","6,199","8,297","6,199 to 8,297","15.2","13.0","17.4","13.0 to 17.4","9,914","2,166","1,700","2,632","1,700 to 2,632","21.8","17.1","26.5","17.1 to 26.5","7,292","1,471","1,122","1,820","1,122 to 1,820","20.2","15.4","25.0","15.4 to 25.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$45,193","$42,112","$48,274","$42,112 to $48,274"
"2013","36","36017","Chenango County (NY)","48,616","8,147","6,908","9,386","6,908 to 9,386","16.8","14.3","19.3","14.3 to 19.3","10,350","2,552","2,050","3,054","2,050 to 3,054","24.7","19.9","29.5","19.9 to 29.5","7,704","1,765","1,356","2,174","1,356 to 2,174","22.9","17.6","28.2","17.6 to 28.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$44,328","$41,208","$47,448","$41,208 to $47,448"
"2016","36","36019","Clinton County (NY)","74,164","10,701","8,792","12,610","8,792 to 12,610","14.4","11.8","17.0","11.8 to 17.0","14,187","2,612","2,053","3,171","2,053 to 3,171","18.4","14.5","22.3","14.5 to 22.3","10,351","1,754","1,339","2,169","1,339 to 2,169","16.9","12.9","20.9","12.9 to 20.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$53,392","$49,898","$56,886","$49,898 to $56,886"
"2013","36","36019","Clinton County (NY)","74,584","11,692","9,904","13,480","9,904 to 13,480","15.7","13.3","18.1","13.3 to 18.1","14,717","3,024","2,471","3,577","2,471 to 3,577","20.5","16.7","24.3","16.7 to 24.3","10,765","1,988","1,533","2,443","1,533 to 2,443","18.5","14.3","22.7","14.3 to 22.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$45,900","$42,163","$49,637","$42,163 to $49,637"
"2016","36","36021","Columbia County (NY)","59,328","7,519","6,426","8,612","6,426 to 8,612","12.7","10.9","14.5","10.9 to 14.5","10,442","1,930","1,537","2,323","1,537 to 2,323","18.5","14.7","22.3","14.7 to 22.3","7,916","1,296","998","1,594","998 to 1,594","16.4","12.6","20.2","12.6 to 20.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$57,579","$52,686","$62,472","$52,686 to $62,472"
"2013","36","36021","Columbia County (NY)","60,524","7,155","5,871","8,439","5,871 to 8,439","11.8","9.7","13.9","9.7 to 13.9","11,341","2,032","1,594","2,470","1,594 to 2,470","17.9","14.0","21.8","14.0 to 21.8","8,608","1,395","1,049","1,741","1,049 to 1,741","16.2","12.2","20.2","12.2 to 20.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$57,094","$53,523","$60,665","$53,523 to $60,665"
