"id","city","fullSummary"
"101","New York, NY, USA","Overview:Interactive Brokers Group (IBG) is looking for a data scientist. The successful candidate will transform information into insight to drive our continued growth, and to understand how we can service our clients better. The data scientist role combines internal and external sources of data to paint a clear picture of who our clients are,and how they engage with our products and services. Identifying interesting and useful trends in this data, and formulate hypotheses on how we can leverage these trends to improve our offering and grow our client base. You will see your insights turned into action as we test and implement changes to take advantage of your analysis.IBG, a subsidiary of InteractiveBrokers Group, Inc. (NASDAQ: IBKR), is a direct access electronic brokercatering to the needs of professional and frequent traders, institutionalinvestors, financial advisors, and introducing brokers. Our clients have accessto more than 120 market centers in 26 countries from a single account. We arethe lowest cost provider of brokerage services and the largest U.S. electronicbroker based on daily average revenue trades executing 695,000 trades per day*. IBG employees are part of a dynamic, multinational, fast-paced,results-oriented team working to provide our customers with state-of-the-arttrading technology, superior execution capabilities, worldwide electronicaccess, and sophisticated risk management tools.Responsibilities:ï Identify, analyze and pinpoint trends and patterns in our data sets that we can leverage to further our growthï Communicate and present your findings to executives and key stakeholdersï Work closely with management to prioritize business and strategic objectives using a data-driven approachï Interact with executives and managers to identify information needs based around the products and services we offer to track how they are being used by our clientsï Design and improve our data collection and database designs to optimize efficiency and improve the data qualityï Acquire data from internal and external data sources that can be used to enhance our data sets and improve analysisQualifications: ï Masters in Computer Science,Mathematics, Statistics or hard science fieldsï 5+ years' experience in a data science or data analysis roleï Hands on knowledge of mining and analyzing data sets to extract meaningful trendsï Experience using statistical programming languages or tool kits for analyzing large, complex data setsï Technical proficiency with optimizing data collection, database design, data mining and modeling/analysisï Strong analytical skills, attention to detail and accuracyï Expert problem solving skills and creative thinking abilityï Ability to distill and present key findings to managers and otherstakeholders (both technical and non-technical individuals)ï Project management skills with experience planning and coordinating fullproject lifecycle for data and research focused projects"
"102","New York, NY, USA","Ollie is looking for a Senior Data Scientist to join our pack and help tackle personalization and customer logic. At Ollie, we are passionate about pet health and nutrition and are looking to apply data science to the core areas of our business.Who are we looking for?You are excited to partner with a founding CTO and small, nimble engineering team to enhance the technical direction of the company. Your contributions make it possible for us to bring human-grade pet food straight to customers doors.What will your everyday be like?Build, validate, and test predictive models to explain or predict behavior and solve a variety of problems.Implement tailored experiences for Ollie customers via our digital productsBuild customized recommendation tools using pet and customer information including projected customer budget.Create tools to optimize physical product operations.Make technical decisions that affect the business and growth.RequirementsWhat do you bring to the pack?Graduate degree in relevant discipline (e.g. Data Science, Applied Mathematics, Computer Science, Statistics, Physics, Operations Research, Business Analytics, Economics).3+ years of experience as a data scientist working at an e-commerce or similar startup.Proficiency with Python or proficiency with R and a desire to learn PythonProficiency with SQL.Good understanding of statistics, probability, machine learning, predictive modeling, and data visualization.Able to make sound implementation recommendations of data science and machine learning tools, libraries, and frameworks (e.g. Pandas, NumPy, Jupyter, Tableau, TensorFlow).Experience building recommendation engines a plus.Startup perseverance and a love for pets.BenefitsWere an early stage startup with lots of exciting milestones ahead.We value health and wellness not just for the dogs we serve but also for our team! We offer competitive health coverage, an open vacation policy, healthy snacks, maternity/paternity leave and the Apple/Ikea setup of your dream. We love hanging with dogs so our offices are super dog-friendly and every employee has a free subscription for up to one dog."
"103","New York, NY, USA","About this role:The Data Scientist is part of the Statistical Operations and Data Science team that provides internal services to building and maintaining the data science methodologies comprising comScoreís projection system for national television, local television, OnDemand, and digital viewership in a cross-platform measurement service. This position is expected to have a particularly significant role in comScoreís measurement of Linear Television.In this role, the Data Scientist will work closely with other members of the Statistical Operations and Data Science team to work with large amounts of tune-level linear television data to build algorithms, tools, and custom projection solutions for precise cross-platform measurement using large-scale data sets in a fast-paced business environment. The Data Scientist will investigate and diagnose potential internally- and externally-facing issues, and design technology improvements to the projection system to improve the way that supports comScore leading cross-platform measurement products. This position will require working across other functional teams to meet the internal and external demands of the business. What youíll do:Independently identify appropriate data science techniques and methodologies that will be used to support comScoreís cross-platform measurement products, and answer technical and business questions.Build algorithms, tools, custom solutions, and new technologies from diverse and large-scale data sets to enhance comScoreís measurement products, or contribute to new products.Maintain existing algorithms, tools, solutions, and methodologies contributing to comScoreís existing measurement products.Build custom solutions to meet internal and client needs for cross-platform measurement.Work closely with other functional teams, including Software Engineering, Product Management, Data Operations, Client Accounts Managers, and Sales Teams to develop and maintain the methodologies contributing to comScoreís cross-platform measurement services.Apply critical thinking to analyze process and data anomalies, field client inquiries, and diagnose problems and data issues. These tasks will include working with Software Engineers, Product Managers, Account Managers, Sales Managers, and Data Operations Analysts.Summarize and visualize conclusions from large-scale data sets to support the decision making of internal business stakeholders using SAS, Excel, R, Python and other tools.Communicate findings and results into measures of business impact.Evaluate and confirm the integrity of large source data sets. Be responsible for quality control and documentation of analysis and modeling to ensure on-time and accurate projection deliverables.Manipulate, analyze, and validate large data sets using SAS and SQL analytical software, and extract quantitative and qualitative findings from large data sets.Creatively solve tactical and strategic problems, bringing new approaches to management.Ownership of routine tasks, ensuring all steps are completed within expected project deadlines with little supervision. What youíll need:Requires a BA/BS in Statistics, Mathematics, or related field; Masterís or Ph.D. degree preferred. 2-4 years of relevant data science experience; comScore or other media measurement experience can be included.Experience in building data science methodologies and custom data solutions for quantitative data measurement.General familiarity with media industry and practices (theatrical, television, home entertainment, advertising, cross-platform, etc.); existing background in media, television, or cross-platform measurement services preferred. Strong Excel and PowerPoint skills.Experience in data analysis and problem solving with large amounts of data; strong knowledge of SAS and SQL programming preferred.Experience with modern data science stacks such as Python (numpy, pandas, matplotlib, scikit-learn), R (dplyr, ggplot2, caret, rmarkdown, & shiny) and Git for data manipulation, data mining, statistical modelling, machine learning, data visualization, dynamic reporting and code version control preferred. Experience with Unix-like operating systems and corresponding commands, utilities and shell scripting preferred.Strong oral and written communication skills, including the ability to communicate findings to stakeholders and document project steps in detail.Ability to work individually, as well as partner with small and large teams of other Data Scientists during all stages of projects, including planning and execution.Ability to independently complete multiple simultaneous project tasks with little supervision.About comScoreAt comScore, weíre pioneering the future of cross-platform media measurement, arming organizations with the insights they need to make decisions with confidence. Central to this aim are our people who work together to simplify the complex on behalf of our clients & partners. Though our roles and skills are varied, weíre united by our commitment to five underlying values: Integrity, Velocity, Accountability, Teamwork, and Servant Leadership. If youíre motivated by big challenges and interested in helping some of the largest and most important media properties and brands navigate the future of media, weíd love to hear from you. comScore (NASDAQ: SCOR) is a trusted partner for planning, transacting and evaluating media across platforms. With a data footprint that combines digital, linear TV, over-the-top and theatrical viewership intelligence with advanced audience insights, comScore allows media buyers and sellers to quantify their multiscreen behavior and make business decisions with confidence. A proven leader in measuring digital and set-top box audiences and advertising at scale, comScore is the industryís emerging, third-party source for reliable and comprehensive cross-platform measurement. To learn more about comScore, please visit comScore.com. EEO Statement: We are an equal employment opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, disability status, sexual orientation, gender identity, age, protected veteran status or any other characteristic protected by law. To comply with federal law, comScore participates in E-Verify. Successful candidates must pass the E-Verify process after hire. At this time, comScore will not sponsor a new applicant for employment authorization for this position. *LI-NB1*MSJA"
"104","New York, NY, USA","MediQuire ñ Data ScientistAre you interested in products that make lives better for those most in need and help reshape healthcare in the US? As a Data Scientist, you will be at the forefront of the development and deployment of MediQuireís data-driven solutions in value-based healthcare. You will be joining a fast-growing VC-backed company, with a unique team of seasoned professionals with a vast combined expertise in both the technical and the healthcare space.Position:As a Data Scientist, you will have an opportunity to contribute to MediQuireís healthcare analytics platform that helps medical providers and payers drive improved outcomes and optimize cost and utilization. Data-driven capabilities form the underpinnings of MediQuireís population health and value-based contracting offerings. You will contribute to building data analysis pipelines and predictive analytics tools that transform clinical and utilization data into information to impact the delivery and quality of care of some of the most underserved patient populations in the United States.Internally, you will have an essential role in creating analysis insights that will inform and guide our Product and Engineering teams and help derive insights that will impact care best practices guidelines on our clientsí side. You will be working with a number of large datasets of pharmacy and medical claims data and a rich nationwide database of Electronic Health Records.Main Responsibilities:Design, implementation, and deployment of solutions for delivery of healthcare based on clinical outcomes, socio-economic factors, as well as healthcare cost and utilization. In this, you will have a unique opportunity to build models and predictive analytics tools that prioritize patients in greatest need of care, as well as enable providers and payers to manage the health of their patient population through improved outcomes and higher quality of care while optimizing cost and utilization. Developing innovative methods to collect data and extract information from heterogeneous sources building on our current product platform that already delivers clinical data insights superior to the traditional clinical informatics solutions. Work closely with the Product and Engineering teams towards scalable integration and deployment of our data-driven advanced analytics components into MediQuireís offerings.Last but not least, continuously enrich our data as an asset: building insights driven by clinical outcomes, cost, and utilization; and continuously tracking and improving our modelsí performance.Minimum Qualifications:You have a Graduate degree in a relevant field (data science, computer science, machine learning, statistics). At least 3 years of real-world experience of building data-driven solutions based on sound quantitative approaches.You have a strong track record of developing and applying advanced methods for managing large and heterogeneous data sources, information extraction, predictive modeling and model validation.You have a continuous drive to crack challenging problems, and eager to find the best possible way to convert data into actionable information.You love working in a team and continuously and effectively communicate your ideas and findings. You know how to use your tools to visualize data to tell stories to internal and external stakeholders.You have advanced knowledge and a track of implemented solutions in at least one of R, Python, Java, Scala. You have excellent understanding of databases and working knowledge of using datastores to effectively manipulate large amounts of heterogeneous data.Preferably, you will have working knowledge and experience utilizing and interfacing distributed computing frameworks such as Spark.Having experience in developing solutions over clinical records and claims data is a huge plus.Personal Characteristics:You are organized, love making to-do lists, are flexible to re-prioritize on the flyHospitable and solution-oriented in natureYou write down your goals and measure them regularlyYou love to win, more than you hate to loseYou have high expectations of yourself and those around youYou enjoy being part of a team and doing whatever it takes to help that team succeedLocation:New York City"
"105","New York, NY, USA","sailteam.io has been engaged to place a Data Scientist at an InsurTech startup based in the financial district of NYC. We are seeking candidates with the following experience:Ph.D. in a scientific discipline (e.g., Applied Statistics/Mathematics, Computer Science, Engineering, or Physics).3+ years industry experience post PHDScientific expertise and applied experience in Machine Learning.Foundational knowledge of Natural Language Processing.Knowledge of advanced statistical theories, methodologies, and inference tools (e.g., Bayesian inference, hierarchical models, deep learning, Gaussian processes, and causal inference).Advanced programming skills in Python and/or R (and their related data processing, Machine Learning, and visualization libraries).Practical experience in preparing data for Machine Learning.The ability to work independently, anticipate problems, and forge a path into uncharted territory.Excellent (written and oral) communication skills.What you will do:Provide innovative solutions for business problems developed using rigorous scientific approaches.Use data (including third party data) to fuel automation and decisions within our company.Develop and employ AI algorithms that can find (predictive) patterns in large multi-modal data.Work in highly cross-functional and collaborative teams together with developers, designers, analysts, underwriters and claims adjusters.Take ownership of development and implementation of ideas and solutions."
"106","New York, NY, USA","Data Scientist in New Yorknexus IT group has a direct hire opening for a Data Scientist that will join a global insurance company and an established analytical team that generates business insight using data analytics and information visualization. The Data Scientist will join a globally dispersed team of highly educated individuals that have studied at universities around the world. What does the Data Scientist do?This individual will design and develop analytical processes and workflows to streamline services and apply analytical methods and algorithms where possible. The Data Scientist will leverage internal and external data to build, interpret and communicate data insights to business stakeholders. Additionally, this individual will validate analytical scenarios by means of functional prototypes or pilot solutions. Fostering new data-driven approaches to generate business insight in order to address unanswered business problems will be a big part of this position as well. What are the top 3 must haves?2 years of professional experience in machine learning OR natural language processing OR cognitive computingMaster's degree or Ph.DExperienced in scriptingThe Data Scientist will work with...Natural Language ProcessingRMATLABSPSSPythonPerlJavaHiveRelational databases"
"107","New York, NY, USA","Consumer Lending start-up seeks an intellectually curious, collaborative data scientist/Sr. data scientist to work as a statistician and data miner. As a Data Scientist, you will use analytical, statistical and programming skills to collect, analyze and interpret large data sets. †Then you use this information to develop data-driven solutions to risk and fraud strategy. †This role will report to Chief Risk Officer.†Responsibilities:Mine and analyze data from internal database and external vendor data to drive optimization and improvement of credit and Fraud strategyResearch and Evaluate new data vendors and make recommendation on vendor selectionsDevelop custom data models and algorithms to apply to data setsUse predictive modeling to optimize varies business across the organization including Marketing, Risk, and OperationsDevelop processes and tools to monitor and analyze model performance and data accuracyBe a self-starter and create data-backed recommendations to help Sr. manger make strategic business decision†Qualifications:†Masters or PhD in Mathematics, Statistics, Econometrics, Operation Research, Industrial Engineering or Computer Science is required.5+ years of experience manipulating data sets and building statistical models.Experience using statistical computer languages (SAS, Python, SQL, R) to manipulate data and draw insights from large data sets.Experience creating and using advanced machine learning algorithms and statistics: clustering, decision tree learning, neural networks, regression, simulation, etc. and understand their real-world advantages/drawbacks.Experience in statistical and data mining techniques: Random Forest, Boosting, Decision Trees, text mining, social network analysis, etc.Excellent written and verbal communication skills for coordinating across teamsConsumer Lending Experience is required.Present the analyses, findings and recommendations to broader audience including senior leaders across the organization."
"108","New York, NY, USA","Are you a Data Scientist interested in utilizing your skills to lead the continued growth of an already multi-billion dollar financial services company? How about spearheading the direction of what data is collected, how that data is used, and seeing the real time business results of your insights?What's the job?As a Data Scientist on our new team that we will continue to build out, you will be comfortable making decisions on what Data we will be using (both internal and external), how we will leverage that Data, then produce the insights that will push our growth to even loftier levels.You will be working with our trading desk, but this is not a Quant role. We are looking for a traditional Data Scientist with years of Machine Learning Model building/experience.You will be confident in communicating your insights to key stakeholders and management. You will be providing data-driven analysis to help shape business strategies.Who are we?We are a long standing global brokerage firm, leading the field in several sectors. We generate over a Billion Dollars in revenue each year.We are headquartered in Greenwich Connecticut, but this role will be based in our new lab in NYC (Close to Grand Central Station).What are we are looking for? ï Minimum of Bachelors Degree in STEM field (Masters Preferred).ï At least 2+ years in a Data Science type role.ï Java Background. ï Excellent communication skills.Compensationï $120k - $180kï Yearly Cash Bonusï Equity (dividends paid out yearly)ï Full Benefits Package (Medical, Dental, Vision etc.)ï 401K (with matching)ï Free LunchesWhat's in it for you?You will have the chance to spearhead our data-driven insights, helping shape our business strategies and seeing the real-time fruits of your work. You will be part of an established global company, but with huge growth still in front of us. The financial package is more than competitive for the right candidate."
"109","","Position Objective Position responsible for utilizing modern Advanced Analytics methods (ie, Machine Learning) to examine business questions and uncover novel insights. The data scientist role will work closely with application architects to integrate results into operational platforms, including SAS, Hadoop, Tableau and SQL architectures. The position includes: analytic computing, data analytics, predictive modeling and communication of results. Specific Responsibilities: Collaborate with cross-functional teams to identify highest value activities for Advanced Data and Analytics group Work closely with Data Architecture Lead to understand systems opportunities and constraints for maximally monetizing the Guardian Enterprise Data Infrastructure Develop relationships with business team members by being proactive, displaying an increasing understanding of the business processes and by recommending innovative solutions Provide data modeling, mining, pattern analysis, data visualization and machine learning solutions to address customer needs Communicate project output in terms of customer value, business objectives, and product opportunity Attend industry conferences to stay current on industry trends, challenges, and potential market opportunities Promote data science methods and processes across functions"
"110","New York, NY, USA","Thomas is looking for a Data Scientist to help build a world-class data team that will support and guide Thomasí business strategy and operations. The right candidate will be a problem solver who is obsessive about all things data, and is enthusiastic about working with cutting-edge techniques, technologies and applications.The Thomas Data Analytics team uses data-driven insights to fuel strategic growth for clients. You will apply your knowledge and skills in driving insights across our product platforms to come up with data powered solutions for our clients. We believe that our data should be put to work to bring the best ideas and stories to our clients!Youíll solve complex marketing and business challenges ñ from cross-channel media and customer experience optimization, targeting and business strategy ñ by accessing, integrating, manipulating, mining, modeling a wide array of data sources.This is an opportunity to work with a newly assembled team of data analysts, engineers and architects to establish best practices and processes as we transition to a data-focused organization, and will involve working with petabyte-scale data across a diverse set of data platforms. A key goal in the near future is creation of a data lake across our industry platforms to facilitate deeper analysis and bring sophisticated data tools and methods to bear in order to more effectively anticipate industry trends and events.Requirements:TechnicalBachelorís or Masterís Degree preferably in Computer Science, Information Systems, Statistical Analysis or EconomicsFamiliarity with statistical analysis/modeling, data science and/or data design and development of actionable advanced analytical solutions that provide insights to decision makersHands-on experience mining data for decision focused insightsAbility to design complex systems and translate user requirements into business solutionsBackground in predictive modeling and machine learning2 years of experience with open source machine learning or statistical analysis toolsExperienced in at least one programming language (Java, Python, Scala, R)Guru level experience with query tools and languages including SQLExperience with NoSQL databases and related toolsExperience with Amazon AWS big data and machine learning technologies a plus (RedShift, Sagemaker, Comprehend etc.)Non-technicalStrong communication skills ñ oral and writtenAbility to guide and lead a data analytics team of 5 ñ collaborate with both technical and non-technical colleagues in product management and executive leadership groupsAbility to gauge the complexity of machine learning problems and a willingness to execute simple approaches for quick effective solutions as appropriateSharing knowledge, debating techniques, and conducting research to advance collective knowledge and skills of our practicesDemonstrated self-starter who thrives in a fast paced environment"
